Battery Voltage (V),Battery Age (Years),Battery Age (Months),Specific Gravity,Capacity Range (Ah),Open Circuit Voltage (V),Visual Inspection_Damage present,Visual Inspection_No damage,Starting_Smooth cranking,Starting_Struggling cranking,Lights and Electronics_Flickering lights,Lights and Electronics_Normal,Maintenance History_Neglected,Maintenance History_No maintenance,Maintenance History_Regular maintenance,Acid Level Check_Normal,Charge Needed_Yes,Maintenance Required_Yes,Status_Low Charge,Status_Weak Battery
12.7,2,0,1.25,100,12.8,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.2,4,0,1.21,85,12.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0
12.6,1,0,1.26,105,12.7,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.8,5,0,1.18,70,11.9,0,0,0,1,1,0,1,0,0,0,1,0,0,1
12.9,0,6,1.27,110,13.0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.3,3,0,1.24,95,12.4,0,0,0,0,0,0,0,0,0,0,1,1,1,0
12.5,2,6,1.24,90,12.6,1,0,0,1,1,0,0,0,1,0,1,0,0,1
12.8,0,9,1.255,115,12.9,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.7,4,0,1.2,80,11.8,1,0,0,1,0,0,1,0,0,0,1,0,0,1
12.4,1,0,1.23,100,12.5,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.1,3,6,1.215,88,12.2,0,0,0,0,0,0,0,0,0,0,1,1,1,0
12.6,0,11,1.26,100,12.7,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.3,2,0,1.235,92,12.4,0,0,0,1,0,0,0,0,1,0,1,0,0,1
12.5,0,8,1.24,98,12.6,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.0,4,1,1.19,75,12.1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
12.7,1,6,1.245,105,12.8,1,0,0,1,1,0,0,0,1,0,1,0,0,1
12.9,0,7,1.275,112,13.0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.9,3,6,1.205,84,12.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
12.8,0,10,1.255,102,12.9,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.6,2,0,1.18,70,11.7,1,0,0,1,1,0,1,0,0,0,1,0,0,1
12.4,1,6,1.265,98,12.5,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.8,3,8,1.19,75,12.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
12.7,1,9,1.245,105,12.8,1,0,0,1,1,0,0,0,1,0,1,0,0,1
12.6,0,3,1.26,100,12.7,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.3,2,5,1.235,92,12.4,0,0,0,1,0,0,0,0,1,0,1,0,0,1
12.5,0,8,1.24,98,12.6,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.0,4,1,1.19,75,12.1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
12.7,1,6,1.245,105,12.8,1,0,0,1,1,0,0,0,1,0,1,0,0,1
12.9,0,7,1.275,112,13.0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.9,3,6,1.205,84,12.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
12.4,2,2,1.23,100,12.5,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.1,3,11,1.215,88,12.2,0,0,0,0,0,0,0,0,0,0,1,1,1,0
12.6,1,3,1.26,100,12.7,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.9,3,9,1.205,84,12.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
12.8,0,5,1.255,102,12.9,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.7,1,10,1.245,105,12.8,1,0,0,1,1,0,0,0,1,0,1,0,0,1
12.9,0,6,1.275,112,13.0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.9,3,4,1.205,84,12.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
12.8,0,11,1.255,102,12.9,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.2,2,7,1.215,88,12.3,0,0,0,0,0,0,0,0,0,0,1,1,1,0
12.5,3,8,1.24,98,12.6,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.0,4,2,1.21,85,12.1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
12.6,1,11,1.25,100,12.7,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.8,5,4,1.19,75,11.9,0,0,0,1,1,0,1,0,0,0,1,0,0,1
12.9,0,9,1.255,102,13.0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.3,3,2,1.22,90,12.4,0,0,0,0,0,0,0,0,0,0,1,1,1,0
12.5,2,11,1.23,95,12.6,1,0,0,1,1,0,0,0,1,0,1,0,0,1
12.8,0,8,1.26,100,12.9,0,1,1,0,0,1,0,0,1,1,0,0,0,0
11.7,4,6,1.2,80,11.8,1,0,0,1,0,0,1,0,0,0,1,0,0,1
12.4,1,4,1.21,85,12.5,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12.0,3,7,1.215,88,12.1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
